No,title,company
178,사내 및 서비스 보안 담당자 (경력),네오위즈
179,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
180,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
181,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
182,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
183,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
184,Developers,Coinplug
185,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
186,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
187,정보보안 담당자,Nexon
188,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
189,[전문연구요원] 상시,네이버
190,2020년 국내 석/박사 산학장학생,LG유플러스
191,데이터 분석가 모집,카카오
192,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
193,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
194,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
195,[카카오커머스] 기술직군,카카오커머스
196,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
197,하나손해보험 경력직,하나손해보험
198,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
199,Sr Systems Administrator I,Raytheon Intelligence & Space
200,Data Scientist,Boston Consulting Group
201,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
202,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
203,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
204,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
205,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
206,Data Scientist,"Koniag, Inc."
207,보훈대상자 인재 채용,네오위즈
208,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
209,지스트 블록체인경제센터 계약직연구원,광주과학기술원
210,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
211,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
212,Developer / Designer recruit,마이뮤직테이스트
213,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
214,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
215,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
216,"Design Consultant, Staff",Synopsys
217,Quantitative Researcher,자산운용: Quantitative Research
218,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
219,각 부문별 신입/경력 수시,제우스
220,[해외취업] AI 엔지니어,株式会社ASCOM
221,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
222,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
223,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
224,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
225,기후 분석&모델링연구실 시간제연구원,광주과학기술원
226,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
227,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
228,사내 및 서비스 보안 담당자 (경력),네오위즈
229,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
230,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
231,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
232,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
233,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
234,Developers,Coinplug
235,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
236,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
237,정보보안 담당자,Nexon
238,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
239,[전문연구요원] 상시,네이버
240,2020년 국내 석/박사 산학장학생,LG유플러스
241,데이터 분석가 모집,카카오
242,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
243,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
244,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
245,[카카오커머스] 기술직군,카카오커머스
246,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
247,하나손해보험 경력직,하나손해보험
248,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
249,Sr Systems Administrator I,Raytheon Intelligence & Space
250,Data Scientist,Boston Consulting Group
251,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
252,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
253,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
254,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
255,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
256,Data Scientist,"Koniag, Inc."
257,보훈대상자 인재 채용,네오위즈
258,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
259,지스트 블록체인경제센터 계약직연구원,광주과학기술원
260,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
261,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
262,Developer / Designer recruit,마이뮤직테이스트
263,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
264,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
265,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
266,"Design Consultant, Staff",Synopsys
267,Quantitative Researcher,자산운용: Quantitative Research
268,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
269,각 부문별 신입/경력 수시,제우스
270,[해외취업] AI 엔지니어,株式会社ASCOM
271,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
272,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
273,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
274,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
275,기후 분석&모델링연구실 시간제연구원,광주과학기술원
276,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
277,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
278,사내 및 서비스 보안 담당자 (경력),네오위즈
279,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
280,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
281,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
282,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
283,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
284,Developers,Coinplug
285,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
286,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
287,정보보안 담당자,Nexon
288,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
289,[전문연구요원] 상시,네이버
290,2020년 국내 석/박사 산학장학생,LG유플러스
291,데이터 분석가 모집,카카오
292,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
293,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
294,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
295,[카카오커머스] 기술직군,카카오커머스
296,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
297,하나손해보험 경력직,하나손해보험
298,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
299,Sr Systems Administrator I,Raytheon Intelligence & Space
300,Data Scientist,Boston Consulting Group
301,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
302,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
303,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
304,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
305,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
306,Data Scientist,"Koniag, Inc."
307,보훈대상자 인재 채용,네오위즈
308,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
309,지스트 블록체인경제센터 계약직연구원,광주과학기술원
310,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
311,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
312,Developer / Designer recruit,마이뮤직테이스트
313,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
314,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
315,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
316,"Design Consultant, Staff",Synopsys
317,Quantitative Researcher,자산운용: Quantitative Research
318,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
319,각 부문별 신입/경력 수시,제우스
320,[해외취업] AI 엔지니어,株式会社ASCOM
321,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
322,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
323,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
324,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
325,기후 분석&모델링연구실 시간제연구원,광주과학기술원
326,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
327,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
328,사내 및 서비스 보안 담당자 (경력),네오위즈
329,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
330,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
331,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
332,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
333,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
334,Developers,Coinplug
335,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
336,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
337,정보보안 담당자,Nexon
338,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
339,[전문연구요원] 상시,네이버
340,2020년 국내 석/박사 산학장학생,LG유플러스
341,데이터 분석가 모집,카카오
342,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
343,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
344,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
345,[카카오커머스] 기술직군,카카오커머스
346,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
347,하나손해보험 경력직,하나손해보험
348,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
349,Sr Systems Administrator I,Raytheon Intelligence & Space
350,Data Scientist,Boston Consulting Group
351,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
352,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
353,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
354,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
355,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
356,Data Scientist,"Koniag, Inc."
357,보훈대상자 인재 채용,네오위즈
358,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
359,지스트 블록체인경제센터 계약직연구원,광주과학기술원
360,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
361,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
362,Developer / Designer recruit,마이뮤직테이스트
363,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
364,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
365,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
366,"Design Consultant, Staff",Synopsys
367,Quantitative Researcher,자산운용: Quantitative Research
368,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
369,각 부문별 신입/경력 수시,제우스
370,[해외취업] AI 엔지니어,株式会社ASCOM
371,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
372,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
373,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
374,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
375,기후 분석&모델링연구실 시간제연구원,광주과학기술원
376,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
377,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
378,사내 및 서비스 보안 담당자 (경력),네오위즈
379,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
380,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
381,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
382,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
383,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
384,Developers,Coinplug
385,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
386,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
387,정보보안 담당자,Nexon
388,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
389,[전문연구요원] 상시,네이버
390,2020년 국내 석/박사 산학장학생,LG유플러스
391,데이터 분석가 모집,카카오
392,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
393,"데이터마이닝, 데이터사이언스 신입 인턴",성공하는공장
394,[기술기획] [인사/경영지원] 사내시스템 개발자,한국카카오은행
395,[카카오커머스] 기술직군,카카오커머스
396,[EY한영] 금융감사본부 Data Analytics 전문 경력직 모집,Ernst & Young
397,하나손해보험 경력직,하나손해보험
398,"[현장코칭 숙련인력](주)아와소프트 웹(JAVA,JSP), Python, 기획/설계 경력자 인원",아와소프트
399,Sr Systems Administrator I,Raytheon Intelligence & Space
400,Data Scientist,Boston Consulting Group
401,"Python, MySQL 외 신입/경력 정규직, 계약직",카라멜라
402,지스트 블록체인인터넷경제연구센터 계약직(연구원),광주과학기술원
403,2020년도 국비기술교육생,대한상공회의소 광주인력개발원
404,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원
405,[아이콘트롤스] 2020년 경력 직원 (기술연구소) 연구개발부문,현대산업개발
406,Data Scientist,"Koniag, Inc."
407,보훈대상자 인재 채용,네오위즈
408,(주)케이티이엔지코어 2020년 하반기 분야별 경력직,케이티이엔지코어
409,지스트 블록체인경제센터 계약직연구원,광주과학기술원
410,[빅데이터분석] 데이터 사업 기획 및 운영 담당자,한국카카오은행
411,[네이버웹툰] 데이터 분석 인턴 (체험형),네이버
412,Developer / Designer recruit,마이뮤직테이스트
413,지스트 블록체인인터넷경제연구센터 계약직(박사급 연구원),광주과학기술원
414,블록체인인터넷경제 연구센터 위촉연구원,광주과학기술원
415,인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원
416,"Design Consultant, Staff",Synopsys
417,Quantitative Researcher,자산운용: Quantitative Research
418,"[해외취업] 미국, Text IQ, Software Engineer",Text IQ
419,각 부문별 신입/경력 수시,제우스
420,[해외취업] AI 엔지니어,株式会社ASCOM
421,차세대 광-무선 가입자망 연구센터 연구전담교수,광주과학기술원
422,인간중심 지능형 시스템 연구실 위촉연구원,광주과학기술원
423,지스트 블록체인경제센터(강남소재) 계약직(연구원),광주과학기술원
424,지구·환경공학부 환경시스템공학 연구실 위촉연구원,광주과학기술원
425,기후 분석&모델링연구실 시간제연구원,광주과학기술원
426,"[해외취업] 중국, RAKUTEN, Senior QA Engineer_Membership",英博管理咨询(大连)有限公司
427,지스트 블록체인경제센터(강남소재) 계약직연구원,광주과학기술원
428,사내 및 서비스 보안 담당자 (경력),네오위즈
429,Field Application Engineer (FAE) – Korea/Asia,LUCID Vision Labs
430,퀀트운용팀 (사원-대리급),신한비엔피파리바자산운용
431,AI/빅데이터/클라우드 분야 (인재 Pool),LG유플러스
432,"[해외취업] 베리텍, 시스템개발자/응용프로그래머",에임하이글로벌
433,"[해외취업] 누리누비, 시스템개발자/응용프로그래머",에임하이글로벌
434,Developers,Coinplug
435,Connectivity Test Developer,Qualcomm CDMA Technologies (Korea) YH
436,"Technical Solutions Engineer, Infrastructure, Google Cloud",Google
437,정보보안 담당자,Nexon
438,DGIST 2019년 제1차 계약직원 공개채용 공고,대구경북과학기술원
439,[전문연구요원] 상시,네이버
440,2020년 국내 석/박사 산학장학생,LG유플러스
441,데이터 분석가 모집,카카오
442,[Search] [Vision] Computer Vision Engineer 체험형 인턴,네이버
